,Title,Artist,ConstituentID,Date,Medium,CreditLine,AccessionNumber,DateAcquired,ObjectID,ApproxDate,YearAcquired,ArtistOrder
2674,Vase,Tapio Wirkkala,6409,1963,Ceramics,Gift of the manufacturer,425.1964,1964-04-14,3551,1963.0,1964,35
2678,Cheese Plate and Cover,Yki Nummi,4346,1963,Plastic,Greta Daniel Design Fund,426.1964.a-b,1964-04-14,3555,1963.0,1964,22
2695,Tumbler,Aino Aalto,35,1932,Glass,Greta Daniel Fund,431.1983,1983-05-17,3573,1932.0,1983,1
2699,Armchair (model 400) (Cantilevered armchair),Alvar Aalto,34,1936,Wood,Estée and Joseph Lauder Design Fund,432.1983,1983-05-17,3577,1936.0,1983,2
2730,Tumblers (model 2064),Tapio Wirkkala,6409,c. 1956,Glass,Purchase,441.1992.1-3,1992-10-21,3608,1956.0,1992,35
2767,Pitcher,Saara Hopea,2724,1951,Glass,Gift of Barbro Kulvik and Antti Siltavuori,449.1983,1983-05-17,3651,1951.0,1983,14
2848,Fruit Bowl,Kaj Franck,1968,c. 1950,Glass,Gift of Peter S. Reed,394.1994,1994-09-21,3737,1950.0,1994,8
2911,Stacking Glasses,Saara Hopea,2724,1951,Glass,Gift of Barbro Kulvik and Antti Siltavuori,450.1983.1-4,1983-05-17,3806,1951.0,1983,14
3013,Bowl,Tapio Wirkkala,6409,1951,Glass,Purchase,466.1956,1956-10-25,3918,1951.0,1956,35
3030,Plate,Timo Sarpaneva,5168,1960s,Glass,Gift of the Contemporary Arts Council of The Museum of Modern Art in memory of Hedi Kravis Ruger,468.1997,1997-10-17,3935,1960.0,1997,29
3169,Stool (no. V63),Alvar Aalto,34,1946-47,Wood,Marshall Cogan Purchase Fund,558.1981,1981-12-10,4087,1946.0,1981,2
3234,Otso Drinking Glasses,Valto Kokko,3196,1978,Glass,Gift of the manufacturer,639.1980.1-6,1980-10-30,4155,1978.0,1980,17
3268,Kilta Covered Containers,Kaj Franck,1968,1948,Ceramics,Gift of Waertsila Corp.,669.1954.1-4,1954-12-16,4202,1948.0,1954,8
